A:char(25)	B:char(25)	C:int	D:int	E:char(25)
California	Barbados	35	0	Chiloscyllium
Indiana	Ecuador	38	37	Isurus
Montana	Spain	37	25	Hemiscyllium
Utah	EL_SALVADOR	32	47	Hawk
West Virginia	Uganda	36	3	Chiloscyllium
Wisconsin	Missouri	31	1	Poroderma
New_Mexico	TRINIDAD_AND_TOBAGO	35	39	Gerbil
Tennessee	Florida	31	49	Fox
Wyoming	Luxembourg	31	94	Parmaturus
Idaho	Nigeria	34	62	Pygmy_Shark
Oregon	Switzerland	33	11	Pony
Virginia	Australia	35	88	Apristurus
Colorado	Kiribati	38	13	Gazelle
Mississippi	Samoa	10	35	Polecat
Nebraska	Uganda	33	84	Rhinoceros
North_Carolina	Rhode_Island	36	44	Moose
Ohio	Mississippi	31	94	Pinniped
Oklahoma	Nebraska	39	14	Alligator
Minnesota	Guatemala	32	17	Dogfish
Idaho	Thailand	30	40	Cobra
New_York	EQUATORIAL_GUINEA	37	72	Guanaco
Kentucky	Virginia	37	32	Lamniformes
Tennessee	Uganda	34	74	Polecat
Oklahoma	Australia	31	99	Mouse
Texas	Spain	10	12	Human
Georgia	Massachusetts	33	9	Wren
Arkansas	Jordan	32	90	Donkey
South_Carolina	Slovenia	33	84	Hyena
South_Dakota	Monaco	36	32	Magpie
New_Hampshire	Ireland	37	79	Carcharhiniformes
Washington	Colombia	36	18	Bison
North_Carolina	France	37	13	Fox
Virginia	Pennsylvania	37	57	Guanaco
Wyoming	Tunisia	33	82	American_Bison
Montana	Virginia	31	80	Camel
Virginia	Serbia	32	34	Sheep
Michigan	Australia	30	55	Columbidae
Idaho	Michigan	33	62	Rhinoceros
Nebraska	Tonga	34	59	Otter
Alabama	Minnesota	32	94	Baboon
Connecticut	Malawi	33	14	Hawk
North_Carolina	Sweden	36	48	Donkey
Nevada	Alaska	31	97	Triakis
Washington	MARSHALL_ISLANDS	33	27	Carcharhinus
Wisconsin	Tonga	36	69	Pelican
Oregon	MARSHALL_ISLANDS	35	40	Louse
Vermont	Thailand	10	96	Flamingo
Missouri	Tunisia	31	32	Ram
Vermont	Nepal	31	21	Goldfinch
Maryland	Dominica	39	22	Alligator
Louisiana	WESTERN_SAHARA	31	28	Crow
Kentucky	Wyoming	31	44	Heron
Nebraska	New_Jersey	33	34	Nightingale
Texas	Kiribati	38	15	Lamniformes
Illinois	Maryland	39	64	Raven
Arizona	Virginia	35	30	Raven
Nevada	Jordan	34	60	Dolphin
Arizona	CZECH_REPUBLIC	10	51	Donkey
Wisconsin	Alabama	38	89	Rhizoprionodon
Louisiana	Spain	34	41	Negaprion
Maine	Mississippi	34	57	Triakis
West Virginia	Morocco	30	87	Anatidae
Nebraska	Saudi_Arabia	39	82	Squaliformes
Texas	Greece	30	93	Gerbil
Illinois	Massachusetts	30	87	Beaver
Kansas	North_Carolina	34	10	Donkey
Maine	Texas	37	49	Quail
Delaware	Mississippi	34	24	Triakis
Minnesota	Samoa	36	70	Polecat
New_Jersey	Japan	37	93	Triaenodon
Colorado	Denmark	31	99	Peafowl
Pennsylvania	Canada	30	87	Carcharhinus
Mississippi	Florida	37	62	Fish
Virginia	Namibia	36	84	Swan
Connecticut	Rhode_Island	36	90	Lamniformes
Hawaii	Washington	36	48	Sphyrna_lewini
Oklahoma	Mozambique	39	56	Guanaco
Indiana	Japan	31	50	Orectolobus
Ohio	Kiribati	38	17	Coccinellidae
Arkansas	Minnesota	33	19	Poroderma
Arizona	Rhode_Island	32	11	Zebra
Arkansas	Guatemala	30	66	Black_panther
Alaska	Namibia	35	63	Apristurus
New_Hampshire	Sweden	39	6	Magpie
Utah	Slovenia	31	93	Hornet
Idaho	Dominica	32	68	Nightingale
Massachusetts	Singapore	36	32	Hyena
California	Monaco	35	97	Wren
Kentucky	Uzbekistan	32	79	Gerbil
Texas	North_Carolina	32	99	Goose
Arkansas	Washington	34	0	Carcharhiniformes
Pennsylvania	WESTERN_SAHARA	35	42	Anatidae
Pennsylvania	Tanzania	32	39	Bison
North_Dakota	Ethiopia	34	13	Zebra
Ohio	Missouri	30	62	Scoliodon
Arizona	Lithuania	38	64	Hawk
Maine	Alabama	34	85	Mallard
South_Carolina	Lithuania	31	84	Gorilla
Minnesota	Grenada	32	86	Goldfinch
South_Carolina	New_Jersey	34	27	American_Bison
Vermont	Morocco	33	25	Columbidae
Vermont	Switzerland	30	50	Cobra
Oregon	Hawaii	37	14	Gerbil
South_Dakota	Ecuador	32	33	Sphyrna_lewini
New_York	Mississippi	31	1	Anatidae
Vermont	Missouri	32	65	Goldfinch
Louisiana	Morocco	33	41	Flamingo
New_York	Wisconsin	35	0	Heron
Wyoming	Mozambique	33	65	Pony
New_York	Guatemala	33	72	Polecat
Vermont	Arizona	38	13	Sheep
Wyoming	Nebraska	36	23	Hawk
Minnesota	Thailand	37	77	Scoliodon
Arizona	Luxembourg	37	82	Wren
Pennsylvania	Malawi	34	41	Alligator
Wisconsin	Uruguay	39	56	Lamna
Illinois	Netherlands	32	50	Snipe
Wisconsin	Missouri	33	1	Giraffe
Vermont	Slovenia	32	12	Louse
Vermont	Luxembourg	32	0	Echinorhinus
Kentucky	Tonga	35	54	Pony
West Virginia	Minnesota	35	33	Gorilla
West Virginia	Slovakia	38	61	Pygmy_Shark
Delaware	Monaco	36	39	Otter
Wyoming	Hawaii	33	6	Prionace
Minnesota	Maine	39	83	Louse
New_Hampshire	Tonga	10	59	Prionace
Pennsylvania	Guatemala	32	66	Gerbil
Pennsylvania	Maine	32	17	Columbidae
Nevada	Sweden	37	62	Parmaturus
Washington	EQUATORIAL_GUINEA	35	44	Mallard
North_Dakota	Tanzania	31	16	Gerbil
Oregon	Tunisia	35	85	Prionace
Hawaii	Spain	31	18	Quail
Alaska	Malaysia	39	24	Cobra
Nebraska	Alabama	38	90	Triakis
California	Namibia	36	21	Donkey
Oklahoma	Tuvalu	39	45	Goldfinch
Missouri	Kiribati	35	30	Sheep
New_Hampshire	WESTERN_SAHARA	32	14	Hemitriakis
Wisconsin	Ghana	38	44	Jaguar
Virginia	Kiribati	39	62	Skunk
Hawaii	Georgia	36	37	Alligator
South_Carolina	Australia	10	59	Poroderma
North_Dakota	Ireland	35	0	Donkey
Mississippi	Samoa	35	26	Pygmy_Shark
North_Dakota	Malawi	37	6	Crow
North_Dakota	Sweden	33	32	Hawk
New_Mexico	Georgia	31	59	Manatee
Virginia	Thailand	34	99	Hamster
Kentucky	Tunisia	31	18	Giant_Panda
Delaware	Ghana	39	60	Gorilla
Pennsylvania	Taiwan	34	71	Hawk
Michigan	Slovakia	33	40	Prionace
Michigan	Romania	38	67	Louse
Montana	Tennessee	32	83	Magpie
Nebraska	Singapore	37	52	Heron
Maryland	Wisconsin	36	54	Magpie
Rhode_Island	Pennsylvania	35	94	Magpie
Indiana	DOMINICAN_REPUBLIC	38	42	Cheetah
Colorado	Missouri	37	19	Isogomphodon
Maryland	Wisconsin	38	6	Raven
Texas	Serbia	32	25	Gazelle
Delaware	Tuvalu	32	88	Echinorhinus
Virginia	Mozambique	32	80	Whale_Shark
Nevada	MARSHALL_ISLANDS	31	41	Cobra
Colorado	Switzerland	10	95	Guanaco
Colorado	Finland	33	74	Louse
Alabama	Sudan	36	78	Black_panther
Rhode_Island	Oregon	31	85	Crow
Minnesota	Canada	31	31	Gazelle
Arizona	Thailand	34	21	Magpie
Alaska	Grenada	34	64	Carcharhinus
Kansas	Tonga	38	37	Fish
West Virginia	Dominica	37	97	Ram
Maryland	Cyprus	32	48	Wombat
Nevada	Morocco	32	81	Carcharhiniformes
Arkansas	Jordan	32	70	Hemiscyllium
Montana	Ecuador	31	5	Magpie
Hawaii	Tunisia	36	77	Cirrhoscyllium
Wyoming	Mozambique	32	96	Human
Florida	Massachusetts	32	91	Triakis
Connecticut	Nigeria	30	78	Hemiscyllium
Alabama	Tuvalu	32	64	Magpie
Minnesota	Nigeria	38	2	Lamniformes
Maryland	Slovakia	38	45	Parmaturus
Rhode_Island	Vatican_City	33	78	Chamois
Kansas	Samoa	36	31	Sawshark
Iowa	Uganda	37	43	Triakis
Georgia	Colombia	35	39	Flamingo
Pennsylvania	Turkey	30	18	Rhizoprionodon
Tennessee	Malaysia	37	95	Dogfish
Wisconsin	Lithuania	38	17	Swan
Michigan	COSTA_RICA	37	25	Dogfish
Louisiana	Mozambique	37	22	Rhinoceros
Georgia	Nebraska	33	43	Carcharhiniformes
Wisconsin	Malta	37	67	Beaver
Nebraska	Nebraska	38	13	Wombat
Pennsylvania	Tuvalu	10	11	Carcharhinus
West Virginia	Uganda	36	1	Orectolobus
Minnesota	Georgia	39	60	Hyena
Kentucky	Lithuania	35	80	Bullhead_shark
New_Mexico	Switzerland	38	13	Manatee
Oklahoma	Sudan	38	11	Rhinoceros
Utah	Pennsylvania	30	31	Hyena
North_Carolina	Nebraska	34	32	Cobra
North_Carolina	Ghana	37	63	Flamingo
New_Mexico	Croatia	35	31	Mouse
Colorado	Illinois	31	6	Triakis
Nebraska	Taiwan	10	3	Swan
Washington	New_Jersey	37	13	Coccinellidae
Connecticut	Florida	34	74	Pelican
North_Dakota	Spain	38	82	Guanaco
New_Jersey	Singapore	33	83	Goose
Virginia	France	38	32	Pinniped
West Virginia	Turkey	38	69	Donkey
Utah	Illinois	36	91	Flamingo
Ohio	Maryland	36	8	Lion
Illinois	Wyoming	33	14	Isurus
Wyoming	TRINIDAD_AND_TOBAGO	32	3	Prionace_glauca
Ohio	TRINIDAD_AND_TOBAGO	32	79	Echinorhinus
South_Carolina	Zimbabwe	10	47	Lamniformes
Alabama	Missouri	34	86	Anatidae
North_Dakota	Kiribati	39	29	Sheep
Oklahoma	Ecuador	33	93	Pristiophorus
Texas	Taiwan	30	32	Fish
Georgia	Lithuania	35	23	Pristiophorus
Kentucky	Taiwan	37	82	Otter
Michigan	Nauru	33	69	Parmaturus
Pennsylvania	Turkey	33	65	Poroderma
Connecticut	Nauru	31	66	Partridge
Kentucky	Tonga	32	33	Wombat
Montana	Singapore	36	35	Gerbil
Massachusetts	Luxembourg	31	37	Jaguar
Tennessee	MARSHALL_ISLANDS	38	97	Mouse
Iowa	Nigeria	34	52	Whale_Shark
Mississippi	Slovenia	30	81	Alligator
Louisiana	Ireland	37	54	Fish
Michigan	Tuvalu	38	51	Cobra
Colorado	DOMINICAN_REPUBLIC	32	28	Black_panther
Iowa	NEW_ZEALAND	39	14	Prionace
West Virginia	France	37	17	Whale_Shark
New_Jersey	Illinois	31	53	Skunk
New_Jersey	Hawaii	34	66	Skunk
Arkansas	Malta	34	13	Donkey
Alaska	Tunisia	31	85	Chiloscyllium
Missouri	Denmark	39	16	Raven
Texas	Canada	30	75	Goose
Minnesota	Washington	39	41	Sphyrna_lewini
Missouri	Uruguay	31	28	Bison
Idaho	Michigan	32	95	Pelican
Alabama	Zimbabwe	39	56	Pygmy_Shark
Florida	Virginia	33	76	Pygmy_Shark
New_Hampshire	Oregon	10	93	Rhinoceros
Nevada	Alabama	34	74	Coyote
Missouri	Nauru	39	0	Wren
Iowa	Luxembourg	30	28	Gorilla
Delaware	Washington	33	72	Cormorant
Hawaii	Rhode_Island	32	44	Snipe
Rhode_Island	Alabama	30	30	Parascyllium
Maryland	Australia	35	72	Nightingale
Wyoming	Canada	33	35	Prionace
Georgia	South_Carolina	38	29	Triaenodon
Illinois	Malta	37	66	Giant_Panda
Michigan	Tonga	35	42	Zebra
Arkansas	Cyprus	30	75	Cobra
Connecticut	Netherlands	38	71	Dogfish
Arizona	Hawaii	35	33	Pristiophorus
New_York	Netherlands	31	22	Gorilla
Maryland	Greece	39	66	Anatidae
New_York	Australia	35	96	Dolphin
Massachusetts	Namibia	36	71	Gorilla
Alabama	Hawaii	34	28	Whale_Shark
Oklahoma	Slovenia	31	5	Heron
Tennessee	Ireland	37	90	Cormorant
Michigan	Nauru	34	14	Rhizoprionodon
Maryland	Tunisia	30	75	Snipe
Oklahoma	Turkey	32	34	Chamois
Ohio	Zimbabwe	30	10	Beaver
Kansas	Croatia	36	84	Hemitriakis
Tennessee	Nebraska	38	12	Skunk
Maryland	Switzerland	30	92	Isurus
New_York	New_Mexico	31	95	Pelican
Montana	Slovenia	36	67	Hawk
Maryland	Uruguay	10	32	Peafowl
Florida	Lithuania	35	56	Alligator
Idaho	Slovakia	32	7	Mule
Florida	Texas	32	70	Pony
Louisiana	Ukraine	38	59	Hawk
Washington	Michigan	36	31	Chiloscyllium
Delaware	Denmark	32	96	Anatidae
Oklahoma	Saudi_Arabia	31	89	Bison
Vermont	EL_SALVADOR	30	79	Bison
Georgia	Turkey	37	24	Coyote
Wisconsin	EQUATORIAL_GUINEA	37	15	Cormorant
Colorado	CZECH_REPUBLIC	38	48	Whale_Shark
New_Jersey	France	37	42	Pony
Iowa	Australia	35	19	Jackal
Vermont	Michigan	32	85	American_Bison
South_Carolina	Netherlands	34	77	Pristiophorus
Wisconsin	Ireland	33	86	Ostrich
Idaho	COSTA_RICA	34	54	Anatidae
New_Mexico	Maine	39	65	Pygmy_Shark
West Virginia	Mozambique	36	88	Hamster
Virginia	South_Carolina	35	2	Manatee
Michigan	Sweden	36	18	Cirrhoscyllium
New_Mexico	Maine	30	87	Chiloscyllium
North_Carolina	Serbia	10	72	Gorilla
Mississippi	Ukraine	34	49	Ram
Kansas	Kiribati	38	69	Beaver
Connecticut	Washington	37	31	Fish
Alabama	WESTERN_SAHARA	39	28	Hamster
Illinois	Slovenia	39	96	Isurus
Utah	Cyprus	38	25	Cobra
New_Hampshire	Wisconsin	36	96	Hyena
Wisconsin	Taiwan	36	50	Snipe
Tennessee	Monaco	32	85	Parmaturus
Hawaii	Samoa	31	97	Gerbil
Arkansas	North_Carolina	32	42	Baboon
Nevada	Wisconsin	35	1	Swallow
Oklahoma	Netherlands	37	11	Hornet
Delaware	WESTERN_SAHARA	39	51	Isogomphodon
North_Carolina	Latvia	31	92	Mallard
Minnesota	New_Jersey	37	79	Zebra
Hawaii	Ghana	39	6	Cheetah
Oklahoma	Taiwan	33	51	Apristurus
Missouri	Singapore	37	98	Dolphin
South_Dakota	Jordan	36	82	Alligator
South_Carolina	Slovenia	34	99	Cirrhoscyllium
Idaho	Mississippi	34	78	Giant_Panda
Massachusetts	Greece	37	91	Lamna
Massachusetts	Italy	32	96	Donkey
Florida	Malta	35	28	Otter
Kentucky	Illinois	38	15	Giant_Panda
South_Carolina	Turkey	36	19	Hemiscyllium
Nevada	Barbados	32	15	Gerbil
Mississippi	New_Mexico	38	48	Human
Idaho	Nebraska	37	93	Triaenodon
Maryland	Minnesota	31	61	Mule
Hawaii	Kiribati	32	76	Wombat
Louisiana	Nigeria	38	59	Rhizoprionodon
Nevada	Jordan	31	93	Ostrich
South_Dakota	Tonga	37	97	American_Bison
Connecticut	California	30	1	Baboon
South_Dakota	Missouri	35	81	Coccinellidae
Florida	Luxembourg	31	73	Gerbil
Missouri	Uruguay	33	85	Goldfinch
Idaho	Denmark	10	29	Jackal
Wisconsin	Latvia	35	56	Nightingale
Mississippi	Zimbabwe	30	61	Polecat
Wyoming	CZECH_REPUBLIC	36	21	Human
Alaska	Massachusetts	33	61	Echinorhinus
Mississippi	Slovenia	36	21	Donkey
Idaho	New_Mexico	38	55	Squaliformes
West Virginia	Texas	35	80	Quail
Washington	New_Jersey	37	3	Giant_Panda
Kansas	New_Jersey	39	0	Giant_Panda
AAA	BBB	11	100	EEE
AAAA	BBBB	11	100	EEEE
