A:char(25)	B:char(25)	C:int	D:int
Indiana	Puerto_Rico	5	4
South_Dakota	South_Dakota	7	2
Delaware	Colorado	9	8
Connecticut	Indiana	0	5
North_Dakota	New_Hampshire	6	1
New_Hampshire	Oklahoma	2	9
North_Dakota	Delaware	4	2
Kentucky	Business	7	7
North_Dakota	Montana	2	2
Nevada	Arkansas	6	4
Oklahoma	Puerto_Rico	3	7
West_Virginia	West_Virginia	0	5
Connecticut	Connecticut	6	1
Connecticut	Montana	9	6
New_Hampshire	Puerto_Rico	0	3
Nevada	Idaho	3	6
Kentucky	North_Dakota	3	6
Connecticut	Delaware	0	8
Idaho	Idaho	9	9
South_Dakota	New_Hampshire	3	4
Arkansas	Idaho	7	6
Arkansas	Arkansas	2	5
Kansas	Singapore	8	3
North_Dakota	Oklahoma	5	8
West_Virginia	Colorado	0	1
West_Virginia	Kansas	9	8
Indiana	North_Dakota	1	9
Puerto_Rico	South_Dakota	0	7
Nevada	Singapore	9	5
Business	Arkansas	0	6
Montana	Montana	7	9
Business	Singapore	3	0
Delaware	Business	6	8
Singapore	Idaho	3	7
Arkansas	Kansas	5	3
North_Dakota	Arkansas	2	8
Oklahoma	Delaware	2	9
Business	Arkansas	7	3
Colorado	Montana	4	1
Indiana	Singapore	9	5
South_Dakota	Kansas	8	8
Puerto_Rico	Kentucky	0	4
Oklahoma	Puerto_Rico	4	8
Business	Idaho	6	7
Business	New_Hampshire	5	8
Business	Kentucky	7	3
West_Virginia	Colorado	3	5
Kansas	Vermont	7	6
Business	West_Virginia	1	5
Delaware	Kentucky	4	1
New_Hampshire	Kansas	8	4
Puerto_Rico	Business	5	3
Delaware	Arkansas	4	3
Puerto_Rico	Colorado	5	4
Vermont	North_Dakota	2	6
Montana	Kansas	3	9
Kansas	Nevada	9	5
South_Dakota	New_Hampshire	5	2
Kansas	Idaho	1	7
Oklahoma	Singapore	8	7
West_Virginia	Puerto_Rico	2	8
Connecticut	Indiana	7	6
Montana	Kentucky	2	9
Idaho	District_of_Columbia	0	2
Kansas	Vermont	3	2
New_Hampshire	Singapore	5	6
Arkansas	Nevada	2	4
North_Dakota	Nevada	2	6
District_of_Columbia	West_Virginia	8	5
Arkansas	Nevada	2	7
Delaware	Business	8	8
Indiana	Colorado	1	5
Idaho	Puerto_Rico	4	0
Singapore	Kansas	1	7
Connecticut	Nevada	0	0
Indiana	West_Virginia	8	0
Idaho	Singapore	4	5
Indiana	Indiana	7	7
South_Dakota	South_Dakota	2	3
Vermont	Singapore	9	3
North_Dakota	Colorado	1	4
South_Dakota	Indiana	9	1
Delaware	Montana	5	0
Arkansas	Kansas	6	2
Idaho	Business	6	0
New_Hampshire	West_Virginia	2	8
Oklahoma	Kansas	1	3
District_of_Columbia	Colorado	0	7
Nevada	District_of_Columbia	7	6
Indiana	Puerto_Rico	3	0
Kentucky	South_Dakota	7	1
Delaware	Vermont	5	4
Montana	Connecticut	0	0
South_Dakota	Vermont	2	6
Singapore	Connecticut	7	9
Nevada	District_of_Columbia	7	5
Puerto_Rico	Singapore	5	0
Vermont	West_Virginia	5	2
West_Virginia	Montana	3	7
Colorado	Puerto_Rico	2	9
Montana	North_Dakota	5	0
Idaho	West_Virginia	7	7
Delaware	Delaware	1	8
South_Dakota	Arkansas	2	8
North_Dakota	Puerto_Rico	4	6
Vermont	Oklahoma	2	4
Singapore	Kansas	6	0
Kentucky	Montana	7	9
North_Dakota	District_of_Columbia	6	5
Colorado	Kentucky	6	5
Singapore	Idaho	4	8
Oklahoma	South_Dakota	6	3
Delaware	Kansas	6	9
Indiana	Idaho	4	0
New_Hampshire	District_of_Columbia	7	1
Vermont	Connecticut	9	6
Kentucky	South_Dakota	8	3
Arkansas	Idaho	4	1
Montana	District_of_Columbia	6	3
Vermont	Montana	4	9
Oklahoma	Delaware	4	2
Singapore	Kansas	6	0
New_Hampshire	Delaware	9	9
Puerto_Rico	New_Hampshire	5	0
Nevada	Business	3	9
Kentucky	Colorado	1	6
Business	Arkansas	7	2
Kansas	Singapore	7	1
Oklahoma	Connecticut	4	2
Arkansas	South_Dakota	5	1
Kentucky	Puerto_Rico	8	8
New_Hampshire	Puerto_Rico	4	6
South_Dakota	Kentucky	9	2
District_of_Columbia	Business	5	0
Arkansas	Idaho	9	0
Singapore	Nevada	5	9
Business	Kentucky	1	6
New_Hampshire	Delaware	2	1
Oklahoma	Arkansas	8	3
Oklahoma	Vermont	7	0
Kansas	Singapore	3	8
Kansas	Business	2	7
North_Dakota	Puerto_Rico	3	7
Delaware	Delaware	6	2
Nevada	Indiana	6	0
Vermont	Connecticut	5	6
South_Dakota	North_Dakota	1	5
North_Dakota	New_Hampshire	8	3
Arkansas	North_Dakota	2	6
Business	Business	7	6
South_Dakota	Puerto_Rico	7	1
Connecticut	Arkansas	7	3
South_Dakota	Arkansas	1	5
Singapore	West_Virginia	2	2
North_Dakota	Oklahoma	6	3
New_Hampshire	Kansas	0	4
Oklahoma	Colorado	5	2
Kentucky	Delaware	8	6
Oklahoma	Montana	3	2
Arkansas	New_Hampshire	0	0
West_Virginia	Kansas	7	1
Nevada	District_of_Columbia	5	8
South_Dakota	District_of_Columbia	4	8
Business	Indiana	1	8
South_Dakota	Connecticut	5	9
Kansas	Montana	0	2
New_Hampshire	Vermont	4	5
Montana	Vermont	5	0
Puerto_Rico	Nevada	3	6
Montana	West_Virginia	4	0
Kentucky	Kansas	3	0
Vermont	Connecticut	7	7
South_Dakota	District_of_Columbia	8	1
Montana	West_Virginia	1	0
Kentucky	Business	5	4
Indiana	Arkansas	5	7
Business	Indiana	1	2
West_Virginia	Connecticut	7	6
Kansas	Montana	0	6
Arkansas	Colorado	0	1
Nevada	Colorado	5	8
District_of_Columbia	Colorado	1	8
Colorado	Delaware	9	8
South_Dakota	South_Dakota	9	9
Vermont	New_Hampshire	1	4
South_Dakota	Kansas	9	8
New_Hampshire	Vermont	6	2
Oklahoma	New_Hampshire	3	1
Business	Indiana	9	7
Indiana	South_Dakota	7	3
District_of_Columbia	Colorado	8	4
Singapore	Delaware	5	7
Arkansas	Connecticut	4	3
West_Virginia	Colorado	6	0
New_Hampshire	North_Dakota	8	9
Indiana	Connecticut	4	0
Delaware	Singapore	7	9
Vermont	District_of_Columbia	3	4
Delaware	South_Dakota	1	3
Business	West_Virginia	9	5
Puerto_Rico	Vermont	9	9
South_Dakota	Arkansas	5	1
Delaware	Connecticut	1	0
New_Hampshire	Vermont	1	5
Kentucky	Colorado	2	1
North_Dakota	Business	6	3
Kansas	Nevada	9	0
Business	North_Dakota	0	1
Idaho	Idaho	1	9
Singapore	District_of_Columbia	3	1
Oklahoma	Business	1	8
Indiana	Kentucky	8	1
Kansas	Colorado	8	9
Puerto_Rico	Kentucky	2	1
West_Virginia	Puerto_Rico	0	3
Idaho	Puerto_Rico	8	5
Nevada	Nevada	7	0
Montana	Singapore	8	0
New_Hampshire	Kansas	1	3
West_Virginia	Singapore	4	7
New_Hampshire	North_Dakota	6	8
Idaho	Kentucky	7	1
South_Dakota	Kansas	7	3
Puerto_Rico	Vermont	1	7
Idaho	Puerto_Rico	3	1
South_Dakota	Indiana	9	8
New_Hampshire	North_Dakota	2	4
Kansas	Arkansas	7	7
District_of_Columbia	South_Dakota	3	6
South_Dakota	North_Dakota	7	8
New_Hampshire	Arkansas	9	3
Colorado	Kansas	8	1
Kentucky	Oklahoma	3	2
Idaho	Nevada	6	5
District_of_Columbia	Montana	0	7
Puerto_Rico	Indiana	4	3
South_Dakota	Idaho	9	5
Connecticut	West_Virginia	3	3
Business	Puerto_Rico	2	3
Delaware	Idaho	7	1
Colorado	District_of_Columbia	2	6
Puerto_Rico	New_Hampshire	3	0
Business	Colorado	0	1
Kentucky	Singapore	8	6
West_Virginia	New_Hampshire	2	2
New_Hampshire	Kentucky	2	3
Singapore	Connecticut	3	2
Kentucky	Delaware	5	0
North_Dakota	Vermont	0	9
West_Virginia	Oklahoma	1	2
West_Virginia	Oklahoma	2	9
Vermont	Arkansas	4	0
New_Hampshire	Nevada	4	0
North_Dakota	Idaho	2	1
North_Dakota	South_Dakota	4	5
Arkansas	District_of_Columbia	0	5
Kentucky	North_Dakota	4	9
District_of_Columbia	Montana	2	3
Singapore	Vermont	6	0
Delaware	New_Hampshire	3	8
Kansas	West_Virginia	9	5
Montana	North_Dakota	9	7
South_Dakota	South_Dakota	0	4
Colorado	Nevada	5	8
Puerto_Rico	Connecticut	9	0
Delaware	New_Hampshire	0	1
Kansas	Kansas	4	4
Kansas	West_Virginia	2	7
Oklahoma	West_Virginia	4	7
Connecticut	Arkansas	6	4
Business	Idaho	1	7
Kansas	Singapore	6	9
Vermont	Puerto_Rico	0	7
North_Dakota	Indiana	5	5
Delaware	Nevada	0	0
Kansas	Kansas	4	9
District_of_Columbia	District_of_Columbia	6	4
Oklahoma	New_Hampshire	3	9
Kansas	Indiana	7	4
Singapore	Colorado	8	1
West_Virginia	Nevada	8	1
Indiana	Kentucky	3	6
Idaho	Idaho	6	6
Indiana	District_of_Columbia	6	7
Colorado	Singapore	1	9
Colorado	Connecticut	5	9
Arkansas	Vermont	7	4
Colorado	North_Dakota	6	8
Business	Idaho	1	0
Delaware	Kansas	2	3
Singapore	Delaware	7	7
West_Virginia	Singapore	2	3
Puerto_Rico	District_of_Columbia	6	6
Singapore	West_Virginia	3	6
Colorado	Kansas	0	0
Business	Puerto_Rico	5	1
Singapore	Singapore	1	5
Puerto_Rico	Oklahoma	9	1
Singapore	District_of_Columbia	2	8
Nevada	Singapore	9	3
Business	New_Hampshire	8	9
Singapore	Indiana	3	4
Idaho	New_Hampshire	5	7
West_Virginia	Oklahoma	7	3
Oklahoma	Kentucky	6	0
Connecticut	Colorado	0	5
New_Hampshire	Delaware	7	3
Connecticut	New_Hampshire	3	7
New_Hampshire	Montana	9	6
Kentucky	Colorado	3	6
Singapore	Kentucky	1	9
North_Dakota	Oklahoma	0	7
Connecticut	Puerto_Rico	8	4
Indiana	New_Hampshire	0	2
Montana	Singapore	5	6
Kentucky	Oklahoma	9	7
Business	Puerto_Rico	1	2
New_Hampshire	Connecticut	5	4
West_Virginia	North_Dakota	2	7
South_Dakota	Puerto_Rico	4	6
Vermont	Arkansas	9	8
Puerto_Rico	New_Hampshire	7	4
Kentucky	Vermont	3	5
North_Dakota	Connecticut	1	1
West_Virginia	Montana	0	2
West_Virginia	Montana	4	0
Connecticut	South_Dakota	1	4
Kansas	Indiana	7	8
Oklahoma	Puerto_Rico	7	1
Colorado	Vermont	1	6
Idaho	Singapore	2	9
Kentucky	Delaware	0	5
Indiana	North_Dakota	9	0
New_Hampshire	Oklahoma	5	2
Nevada	Kansas	4	3
Colorado	Colorado	2	7
Idaho	Puerto_Rico	6	9
Kentucky	District_of_Columbia	1	7
Vermont	Idaho	2	0
Colorado	Business	2	7
Arkansas	Oklahoma	1	8
New_Hampshire	Montana	4	5
Oklahoma	Kansas	4	3
Kentucky	Kentucky	1	6
Oklahoma	North_Dakota	1	4
Montana	Montana	9	2
West_Virginia	Oklahoma	8	2
Colorado	Colorado	2	8
New_Hampshire	South_Dakota	7	8
Oklahoma	Idaho	1	7
Puerto_Rico	South_Dakota	0	4
New_Hampshire	District_of_Columbia	3	7
Indiana	New_Hampshire	1	8
Indiana	Puerto_Rico	0	7
Montana	New_Hampshire	7	0
North_Dakota	Vermont	5	3
West_Virginia	Idaho	1	4
North_Dakota	Idaho	8	2
Kansas	Oklahoma	0	2
Arkansas	Vermont	0	7
Vermont	Arkansas	0	6
Kentucky	South_Dakota	0	7
Puerto_Rico	Montana	3	3
Kentucky	Connecticut	9	9
North_Dakota	District_of_Columbia	2	0
Business	Oklahoma	4	3
Business	West_Virginia	7	5
Vermont	North_Dakota	7	2
Business	Kentucky	5	4
Nevada	Business	3	8
South_Dakota	Nevada	2	2
North_Dakota	Connecticut	2	8
Puerto_Rico	Kansas	8	4
District_of_Columbia	West_Virginia	2	8
Delaware	Oklahoma	5	8
Indiana	South_Dakota	1	9
New_Hampshire	Colorado	7	7
Singapore	West_Virginia	2	4
Oklahoma	Business	8	1
Delaware	Colorado	7	1
Arkansas	Idaho	7	7
Kentucky	Nevada	4	5
Nevada	Indiana	6	5
Montana	Indiana	2	9
Kentucky	Idaho	5	0
Nevada	Singapore	2	0
Oklahoma	New_Hampshire	8	3
Delaware	West_Virginia	5	4
Arkansas	Montana	6	2
Oklahoma	Singapore	1	9
Kentucky	Oklahoma	4	1
Oklahoma	South_Dakota	8	8
Oklahoma	South_Dakota	5	3
Nevada	Kentucky	4	4
Kansas	Arkansas	4	6
Kentucky	North_Dakota	7	6
Vermont	Kansas	0	7
North_Dakota	Montana	7	4
Colorado	New_Hampshire	0	0
Arkansas	Delaware	3	4
District_of_Columbia	North_Dakota	8	9
Montana	Delaware	0	2
Kentucky	Montana	7	8
Connecticut	Connecticut	1	7
South_Dakota	North_Dakota	6	8
Colorado	Colorado	1	5
Singapore	District_of_Columbia	5	6
Idaho	Connecticut	6	3
New_Hampshire	Oklahoma	6	0
Nevada	Vermont	0	1
Idaho	Arkansas	5	9
South_Dakota	Kentucky	9	0
Oklahoma	Connecticut	6	1
North_Dakota	Kentucky	7	2
Kentucky	Puerto_Rico	7	0
Kentucky	Nevada	9	5
North_Dakota	Idaho	3	2
Delaware	Montana	8	6
South_Dakota	Indiana	7	3
South_Dakota	Vermont	4	1
Colorado	Nevada	5	0
South_Dakota	Vermont	9	2
Colorado	Kansas	2	1
North_Dakota	Colorado	4	7
Delaware	Singapore	0	1
Puerto_Rico	Arkansas	5	2
Connecticut	Delaware	9	1
Business	Puerto_Rico	5	5
Kentucky	North_Dakota	2	7
South_Dakota	Idaho	7	4
New_Hampshire	Vermont	6	1
Arkansas	Connecticut	7	2
Singapore	Vermont	6	8
Connecticut	Singapore	2	1
South_Dakota	Delaware	0	8
Idaho	South_Dakota	1	1
Indiana	Business	0	5
Oklahoma	Kansas	9	2
Puerto_Rico	Nevada	4	7
Singapore	Montana	7	0
Kentucky	Puerto_Rico	2	3
Singapore	Oklahoma	2	2
Delaware	Business	6	4
Business	Colorado	5	2
Vermont	District_of_Columbia	3	0
Arkansas	Idaho	6	6
Vermont	Kansas	7	4
Kentucky	Delaware	4	8
Puerto_Rico	Nevada	0	7
District_of_Columbia	South_Dakota	3	4
South_Dakota	Oklahoma	9	0
Indiana	District_of_Columbia	4	2
Indiana	Kansas	7	7
Arkansas	New_Hampshire	2	6
Delaware	South_Dakota	8	3
Kansas	Business	3	4
Nevada	District_of_Columbia	4	1
Montana	New_Hampshire	4	6
Oklahoma	Singapore	5	4
Indiana	Puerto_Rico	8	7
Delaware	Colorado	5	7
Delaware	Kansas	1	5
Indiana	North_Dakota	8	2
North_Dakota	Vermont	5	6
Kansas	West_Virginia	2	3
Arkansas	Indiana	6	7
Indiana	Delaware	1	5
District_of_Columbia	Business	1	0
South_Dakota	Idaho	4	2
Kentucky	Singapore	9	9
Kansas	Vermont	3	0
South_Dakota	Singapore	0	1
Vermont	Vermont	4	6
Kentucky	Colorado	9	0
West_Virginia	Kansas	3	8
Idaho	Singapore	4	4
Kentucky	Delaware	5	3
Kentucky	Colorado	3	6
Puerto_Rico	Delaware	9	1
Indiana	New_Hampshire	9	7
Indiana	Montana	5	5
Oklahoma	District_of_Columbia	6	7
Puerto_Rico	Colorado	9	6
Kentucky	Kentucky	1	5
Nevada	Idaho	0	3
Montana	New_Hampshire	0	9
Nevada	Puerto_Rico	6	9
Singapore	West_Virginia	0	6
Business	Montana	3	1
Nevada	New_Hampshire	8	3
Delaware	New_Hampshire	5	8
Colorado	Singapore	6	0
Nevada	Indiana	8	0
West_Virginia	District_of_Columbia	6	2
New_Hampshire	Puerto_Rico	2	1
Montana	Idaho	7	1
Business	Nevada	2	8
District_of_Columbia	Montana	7	4
Vermont	Kentucky	7	9
South_Dakota	Montana	2	9
Montana	Colorado	6	5
Montana	Indiana	4	7
Colorado	District_of_Columbia	2	7
Montana	Colorado	1	4
Oklahoma	Colorado	4	1
Nevada	Delaware	4	9
New_Hampshire	Nevada	6	7
Kentucky	Connecticut	2	1
North_Dakota	District_of_Columbia	9	3
Business	Idaho	5	3
Delaware	Connecticut	3	7
Indiana	Kansas	0	6
Idaho	Delaware	6	1
Indiana	Vermont	9	7
Connecticut	Kansas	7	1
Kansas	South_Dakota	8	8
North_Dakota	Vermont	8	4
District_of_Columbia	District_of_Columbia	6	8
Indiana	Puerto_Rico	0	7
Delaware	Connecticut	1	2
Singapore	Kansas	0	0
Indiana	Business	6	7
Colorado	West_Virginia	4	1
Kansas	Idaho	0	1
North_Dakota	Indiana	6	5
Idaho	District_of_Columbia	3	2
Nevada	Kentucky	3	9
District_of_Columbia	Puerto_Rico	3	9
Nevada	District_of_Columbia	4	9
Arkansas	Vermont	4	4
Puerto_Rico	District_of_Columbia	6	9
Idaho	Singapore	6	5
Montana	Kentucky	7	0
Idaho	South_Dakota	9	3
South_Dakota	Montana	7	8
Puerto_Rico	District_of_Columbia	6	8
Connecticut	West_Virginia	8	3
Kentucky	Idaho	9	0
Puerto_Rico	Idaho	8	0
Arkansas	Kentucky	9	9
Oklahoma	Colorado	9	5
Colorado	Kansas	7	7
Nevada	Connecticut	7	6
Kentucky	Connecticut	6	0
Idaho	Singapore	2	0
South_Dakota	Nevada	5	8
Connecticut	Idaho	9	2
Nevada	Montana	6	7
Business	Business	5	2
Puerto_Rico	Indiana	9	3
Kentucky	Colorado	8	3
Indiana	Kentucky	1	7
Singapore	Vermont	9	2
Vermont	Puerto_Rico	2	9
Colorado	Idaho	1	4
Idaho	Singapore	2	2
Kansas	Nevada	0	1
Singapore	District_of_Columbia	7	1
Connecticut	Singapore	8	6
Connecticut	Puerto_Rico	2	0
Business	New_Hampshire	6	9
Colorado	Connecticut	7	9
Connecticut	South_Dakota	0	9
South_Dakota	New_Hampshire	1	7
Indiana	Delaware	4	5
District_of_Columbia	Kansas	0	4
Business	Indiana	7	4
West_Virginia	Idaho	7	8
West_Virginia	South_Dakota	3	0
North_Dakota	Puerto_Rico	4	4
Singapore	Oklahoma	8	0
North_Dakota	Business	6	3
Kentucky	Business	5	0
North_Dakota	West_Virginia	0	3
Singapore	Montana	1	1
District_of_Columbia	Vermont	3	2
Arkansas	Colorado	5	9
South_Dakota	Indiana	9	3
Puerto_Rico	Nevada	6	0
District_of_Columbia	Oklahoma	7	8
South_Dakota	Idaho	1	9
Montana	Vermont	7	0
Delaware	Idaho	6	5
Nevada	Puerto_Rico	6	1
Vermont	Montana	2	7
West_Virginia	Montana	2	6
North_Dakota	New_Hampshire	0	7
Nevada	Oklahoma	6	1
District_of_Columbia	Idaho	0	8
Business	New_Hampshire	2	1
Business	West_Virginia	9	9
New_Hampshire	Business	4	0
Arkansas	North_Dakota	2	7
District_of_Columbia	Business	5	2
West_Virginia	Arkansas	3	5
New_Hampshire	West_Virginia	7	6
North_Dakota	Business	8	9
Vermont	Kansas	0	7
Colorado	District_of_Columbia	6	8
Business	Business	7	1
West_Virginia	Kansas	5	4
Arkansas	North_Dakota	8	4
New_Hampshire	Kentucky	2	1
Indiana	Nevada	4	8
Vermont	Idaho	4	1
Delaware	Kansas	1	1
Delaware	Kansas	8	1
District_of_Columbia	Puerto_Rico	4	1
Delaware	Vermont	9	5
Vermont	Kentucky	6	5
Kansas	Connecticut	1	1
Vermont	Arkansas	9	0
Colorado	Delaware	1	4
Nevada	Oklahoma	3	3
West_Virginia	Colorado	6	1
West_Virginia	Nevada	8	9
Business	Oklahoma	1	5
Business	Arkansas	3	0
West_Virginia	District_of_Columbia	8	6
District_of_Columbia	Indiana	9	9
Delaware	New_Hampshire	8	5
Kentucky	Business	6	0
Colorado	Indiana	3	5
Indiana	Colorado	4	5
Delaware	Singapore	9	1
Kansas	Oklahoma	2	6
Idaho	Indiana	4	4
Indiana	Vermont	5	4
Vermont	New_Hampshire	4	4
New_Hampshire	Puerto_Rico	5	3
Nevada	Kansas	2	6
Montana	Delaware	3	9
Oklahoma	Arkansas	6	2
Kansas	North_Dakota	6	4
Arkansas	District_of_Columbia	8	6
West_Virginia	Kansas	8	0
West_Virginia	Indiana	7	2
Business	New_Hampshire	2	1
Oklahoma	Nevada	3	9
Arkansas	Kansas	4	8
Connecticut	Kansas	9	7
South_Dakota	Nevada	6	9
Connecticut	Puerto_Rico	5	9
Singapore	Puerto_Rico	5	8
Delaware	South_Dakota	8	6
Singapore	Kansas	7	7
South_Dakota	Kentucky	5	3
Business	District_of_Columbia	1	5
Arkansas	New_Hampshire	3	1
Oklahoma	Arkansas	0	5
Nevada	Vermont	9	6
Kentucky	New_Hampshire	6	6
Nevada	Oklahoma	2	9
Oklahoma	Idaho	3	6
Nevada	Connecticut	4	2
Puerto_Rico	Arkansas	1	2
Delaware	South_Dakota	6	3
Montana	Idaho	4	8
Colorado	Singapore	2	6
Singapore	New_Hampshire	5	3
Indiana	Business	5	8
Connecticut	Puerto_Rico	6	4
Idaho	Colorado	2	6
Idaho	Oklahoma	5	1
Montana	South_Dakota	9	0
Nevada	Oklahoma	2	5
Puerto_Rico	North_Dakota	7	4
Business	Business	5	0
Puerto_Rico	Connecticut	0	8
New_Hampshire	District_of_Columbia	4	5
Colorado	Connecticut	3	9
Kansas	New_Hampshire	6	2
Oklahoma	Vermont	7	7
Connecticut	Puerto_Rico	3	7
Indiana	Kentucky	3	1
Singapore	Indiana	6	4
North_Dakota	Business	8	9
Idaho	Montana	7	2
Vermont	Montana	4	1
South_Dakota	Nevada	2	3
Connecticut	North_Dakota	2	9
District_of_Columbia	Connecticut	7	8
New_Hampshire	West_Virginia	6	7
Idaho	North_Dakota	9	5
Montana	District_of_Columbia	0	9
Singapore	Oklahoma	8	3
Indiana	Arkansas	4	3
South_Dakota	Connecticut	0	3
West_Virginia	Montana	5	7
Idaho	Delaware	5	8
Singapore	Colorado	7	1
Singapore	Kentucky	9	2
Business	Colorado	0	1
Arkansas	Kentucky	6	9
Kansas	Business	1	7
Vermont	South_Dakota	7	6
Montana	Arkansas	3	6
Montana	Vermont	0	0
South_Dakota	Montana	4	6
Singapore	Connecticut	9	2
Indiana	Business	6	5
Arkansas	North_Dakota	2	7
Oklahoma	South_Dakota	9	6
Oklahoma	Oklahoma	7	1
North_Dakota	Kansas	6	2
West_Virginia	Business	8	6
Vermont	Delaware	5	5
South_Dakota	Connecticut	4	6
South_Dakota	Delaware	1	2
Singapore	North_Dakota	6	7
Indiana	North_Dakota	0	9
Connecticut	District_of_Columbia	1	0
West_Virginia	Arkansas	3	0
Kansas	Connecticut	5	3
Nevada	Oklahoma	4	8
Indiana	Kentucky	6	5
Montana	Singapore	9	1
Arkansas	Kentucky	5	0
Singapore	Idaho	8	8
Kentucky	Kansas	9	9
District_of_Columbia	District_of_Columbia	0	1
Indiana	Kansas	3	6
Kentucky	South_Dakota	7	1
Business	Business	4	2
Vermont	Colorado	0	8
New_Hampshire	Montana	0	6
Connecticut	Oklahoma	0	9
West_Virginia	Kentucky	6	4
New_Hampshire	Vermont	3	4
Oklahoma	Singapore	9	9
Oklahoma	Montana	4	3
Delaware	North_Dakota	5	2
South_Dakota	Oklahoma	7	7
West_Virginia	New_Hampshire	8	6
Idaho	Montana	6	0
Idaho	New_Hampshire	9	3
Oklahoma	Nevada	0	0
Idaho	Kentucky	1	6
West_Virginia	Oklahoma	4	5
South_Dakota	Kentucky	4	3
Kentucky	Colorado	1	3
Indiana	Delaware	6	0
District_of_Columbia	New_Hampshire	2	2
Kansas	Singapore	6	4
District_of_Columbia	Kansas	0	1
South_Dakota	New_Hampshire	9	7
Kansas	North_Dakota	6	6
North_Dakota	Indiana	0	6
Connecticut	Idaho	0	6
Business	Idaho	0	5
Arkansas	South_Dakota	9	4
Kentucky	Delaware	7	8
Arkansas	Connecticut	7	3
Singapore	South_Dakota	9	0
New_Hampshire	Puerto_Rico	5	5
Singapore	West_Virginia	2	8
Kansas	Singapore	3	8
Oklahoma	Indiana	5	2
South_Dakota	Vermont	1	7
Idaho	New_Hampshire	5	8
Puerto_Rico	Kansas	3	9
Arkansas	West_Virginia	2	6
Indiana	Idaho	7	6
Montana	District_of_Columbia	1	6
Montana	South_Dakota	3	3
Kentucky	Puerto_Rico	6	4
West_Virginia	New_Hampshire	3	4
Arkansas	North_Dakota	1	8
North_Dakota	Kentucky	1	8
District_of_Columbia	Delaware	9	5
West_Virginia	West_Virginia	0	4
District_of_Columbia	Kentucky	6	0
Arkansas	South_Dakota	1	6
Vermont	Delaware	5	6
Kentucky	Puerto_Rico	7	2
Indiana	District_of_Columbia	1	5
Delaware	Idaho	2	0
Vermont	Puerto_Rico	3	0
West_Virginia	Kansas	6	5
Connecticut	Kentucky	6	1
Business	Oklahoma	6	6
Nevada	Delaware	1	1
Singapore	Kansas	1	9
District_of_Columbia	Vermont	9	9
Connecticut	Idaho	6	2
Arkansas	Delaware	6	7
West_Virginia	Kentucky	7	9
Idaho	Puerto_Rico	9	8
Indiana	West_Virginia	1	2
Colorado	South_Dakota	9	0
District_of_Columbia	Arkansas	2	0
Business	Arkansas	9	3
Kentucky	District_of_Columbia	0	5
Kansas	North_Dakota	2	1
Connecticut	Idaho	1	8
Delaware	Delaware	7	9
Delaware	Arkansas	3	9
Vermont	South_Dakota	6	5
Connecticut	Business	9	7
Nevada	Indiana	7	8
Business	New_Hampshire	5	7
District_of_Columbia	Delaware	0	5
District_of_Columbia	Puerto_Rico	2	7
North_Dakota	Oklahoma	0	8
Delaware	Montana	2	0
New_Hampshire	Kansas	5	9
Kansas	Montana	2	7
Vermont	Delaware	9	3
New_Hampshire	District_of_Columbia	0	1
Colorado	Singapore	2	1
Montana	Singapore	2	3
Business	Connecticut	3	2
Montana	Delaware	5	9
West_Virginia	North_Dakota	9	7
Connecticut	Indiana	2	8
District_of_Columbia	Vermont	3	3
Idaho	Nevada	4	9
Puerto_Rico	West_Virginia	6	7
New_Hampshire	Business	9	3
Connecticut	Kentucky	9	5
Delaware	North_Dakota	1	3
West_Virginia	Nevada	6	3
North_Dakota	West_Virginia	2	4
Montana	Kentucky	9	7
Vermont	South_Dakota	2	0
Singapore	Puerto_Rico	1	9
Montana	North_Dakota	8	3
Kentucky	Oklahoma	1	1
District_of_Columbia	Indiana	3	3
Idaho	South_Dakota	9	5
Delaware	Idaho	2	2
Idaho	Kentucky	0	5
Connecticut	Connecticut	5	4
Indiana	Connecticut	9	6
Indiana	Oklahoma	2	0
New_Hampshire	South_Dakota	2	2
Montana	South_Dakota	0	8
Kansas	Nevada	2	1
District_of_Columbia	Idaho	1	0
Kansas	New_Hampshire	3	4
Arkansas	South_Dakota	8	9
Nevada	Vermont	5	3
Oklahoma	Puerto_Rico	9	3
Indiana	North_Dakota	7	6
Delaware	Montana	1	1
Delaware	North_Dakota	9	2
South_Dakota	District_of_Columbia	9	1
Nevada	Vermont	2	2
New_Hampshire	Vermont	6	0
Vermont	Indiana	8	8
Indiana	Vermont	2	3
Kansas	Singapore	3	0
Vermont	Kansas	9	4
Delaware	Arkansas	7	6
Indiana	Indiana	8	0
North_Dakota	South_Dakota	4	6
Colorado	West_Virginia	5	2
Arkansas	Idaho	7	3
Nevada	Vermont	6	2
Idaho	New_Hampshire	1	3
Nevada	West_Virginia	2	0
Idaho	Idaho	5	0
South_Dakota	Puerto_Rico	4	6
Connecticut	District_of_Columbia	2	6
Idaho	Montana	9	4
Montana	Montana	0	5
Puerto_Rico	New_Hampshire	2	9
Oklahoma	Puerto_Rico	9	6
Oklahoma	Montana	5	9
Business	Montana	6	9
Puerto_Rico	Delaware	3	2
District_of_Columbia	Nevada	9	4
Connecticut	District_of_Columbia	4	9
Connecticut	Montana	4	8
New_Hampshire	Nevada	0	6
Arkansas	South_Dakota	7	6
District_of_Columbia	Indiana	7	6
