A:char(25)	B:char(25)	C:int	D:int	E:char(25)
Tennessee	Georgia	9	92	Polecat
Massachusetts	Ireland	2	3	Ostrich
Idaho	Spain	8	40	Hornet
West_Virginia	Nepal	1	41	Anatidae
Wyoming	Romania	1	4	Snipe
Virginia	Ukraine	0	44	Ram
Louisiana	Nigeria	6	91	Whale_Shark
Washington	Tennessee	0	16	Chamois
Vermont	Nigeria	0	84	Bullhead_shark
Illinois	Denmark	4	15	Reindeer
Arizona	Rhode_Island	1	4	Fish
West_Virginia	Alabama	2	62	Sawshark
New_Mexico	Ecuador	7	45	Bullhead_shark
New_York	Croatia	6	91	Black_panther
Florida	Maryland	8	92	Cheetah
Tennessee	Madagascar	3	71	Triaenodon
Michigan	Kiribati	6	26	Crow
Connecticut	Sweden	2	43	Cheetah
New_Hampshire	Kiribati	2	9	Chiloscyllium
Pennsylvania	Rhode_Island	5	83	Reindeer
Idaho	Guatemala	5	55	Lamniformes
Kentucky	Netherlands	8	58	Sawshark
Louisiana	Canada	0	88	Manatee
Oklahoma	Zambia	6	76	Baboon
North_Carolina	Mozambique	9	11	Partridge
Oklahoma	Namibia	3	68	Alligator
West_Virginia	Malawi	1	3	Prionace_glauca
Delaware	MARSHALL_ISLANDS	7	27	Reindeer
Arkansas	Nepal	4	22	Carcharhinus
Mississippi	Monaco	8	85	Pony
West_Virginia	New_Jersey	6	66	Gorilla
Ohio	Taiwan	3	93	Chiloscyllium
New_Mexico	France	6	95	Guanaco
North_Carolina	Malta	6	73	Jackal
Wisconsin	Malta	7	89	Lion
Illinois	Samoa	6	24	Gerbil
Indiana	Uganda	0	29	Otter
New_York	Ghana	3	68	Coccinellidae
Illinois	Grenada	2	45	Triaenodon
Illinois	New_Mexico	9	40	Angel_shark
Kansas	Netherlands	6	54	Heron
Oregon	Tanzania	9	8	Magpie
Hawaii	Samoa	1	36	Manatee
Massachusetts	Tunisia	2	22	Carcharhinus
Illinois	Vatican_City	4	98	Nightingale
New_Mexico	Ukraine	3	10	Ostrich
South_Carolina	Tuvalu	2	75	Moose
Oregon	Grenada	9	75	Flamingo
Connecticut	Malta	8	97	Carcharhiniformes
Connecticut	Greece	7	89	Gerbil
Virginia	Spain	5	72	Pelican
Alabama	Luxembourg	2	30	Guanaco
Texas	Vatican_City	7	24	Jaguar
New_Jersey	North_Carolina	5	28	Heron
Indiana	Sweden	1	29	Coyote
West_Virginia	Zambia	1	58	Negaprion
Virginia	Slovakia	1	25	Hemitriakis
Iowa	New_Mexico	8	34	Pinniped
Nebraska	Uzbekistan	1	3	Magpie
South_Dakota	Kiribati	7	0	Gorilla
Alabama	Netherlands	8	22	Human
Wisconsin	Nauru	5	26	Wren
North_Carolina	Virginia	8	24	Cobra
North_Dakota	Missouri	1	45	Carcharhinus
Maryland	Pennsylvania	2	72	Poroderma
Rhode_Island	Sweden	0	2	Hemitriakis
Arizona	Thailand	7	32	Wombat
West_Virginia	Ethiopia	8	90	Pristiophorus
Delaware	Washington	5	12	Badger
Wyoming	Illinois	7	90	Cormorant
Oklahoma	WESTERN_SAHARA	6	65	Guanaco
Wisconsin	EQUATORIAL_GUINEA	2	19	Chamois
Louisiana	Ecuador	2	0	Bullhead_shark
Oklahoma	Barbados	8	6	Cormorant
Arizona	WESTERN_SAHARA	8	93	Nightingale
Iowa	Nebraska	1	93	Rhizoprionodon
Georgia	Lithuania	8	39	Carcharhinus
Alaska	Ghana	5	37	Mouse
Wisconsin	Grenada	2	44	Magpie
Massachusetts	Alabama	6	68	Hemiscyllium
Utah	Washington	3	52	Coccinellidae
Virginia	Zimbabwe	5	85	Hamster
New_Mexico	CZECH_REPUBLIC	0	93	Hawk
Wisconsin	Zimbabwe	2	96	Orectolobus
South_Dakota	Switzerland	9	45	Hemitriakis
Alabama	Illinois	6	4	Isogomphodon
California	Arizona	7	4	Rhinoceros
Ohio	Ecuador	5	50	Beaver
New_Hampshire	Texas	1	17	Columbidae
Nevada	Tanzania	1	17	Columbidae
Maryland	Cyprus	9	37	Baboon
Utah	Taiwan	4	44	Reindeer
New_Jersey	COSTA_RICA	3	91	Pygmy_Shark
Rhode_Island	Netherlands	8	5	Swallow
California	Ghana	1	26	Negaprion
Massachusetts	Alabama	8	26	Prionace
Utah	CZECH_REPUBLIC	4	32	Lamniformes
New_Jersey	Malawi	8	17	Echinorhinus
Georgia	Vatican_City	0	74	Partridge
Vermont	Samoa	0	31	Parascyllium
Mississippi	Australia	9	25	Baboon
Kentucky	Minnesota	4	55	Isogomphodon
Idaho	France	3	40	Squaliformes
Massachusetts	Morocco	8	6	Anatidae
Ohio	Finland	9	90	Manatee
Tennessee	Colombia	8	86	Dogfish
Maine	Zimbabwe	6	15	Triakis
Missouri	South_Carolina	8	98	Swan
Arizona	Malta	5	73	Flamingo
Texas	Dominica	4	63	Skunk
Kansas	Ukraine	8	9	Sawshark
Connecticut	Nepal	1	80	Lamna
Vermont	Luxembourg	5	91	Hyena
Texas	CZECH_REPUBLIC	1	96	Chiloscyllium
Pennsylvania	Rhode_Island	5	23	Wren
West_Virginia	Morocco	7	83	American_Bison
New_Jersey	Slovenia	4	7	Hemiscyllium
Wyoming	Rhode_Island	5	90	Partridge
Montana	Malta	3	73	Skunk
South_Dakota	Tuvalu	6	42	Ram
Colorado	Cyprus	9	58	Hawk
North_Carolina	Tennessee	2	66	Guanaco
North_Dakota	Virginia	9	80	Mallard
West_Virginia	Samoa	3	82	Ram
California	Uganda	1	90	Human
Louisiana	Illinois	1	91	Bison
Iowa	Guatemala	4	21	Bullhead_shark
Montana	Japan	1	58	Pony
Illinois	Singapore	5	31	Louse
Oregon	EL_SALVADOR	4	59	Chamois
Virginia	Nepal	6	51	Raven
Nebraska	Alaska	8	96	Whale_Shark
Nebraska	Denmark	3	49	Moose
Delaware	Malawi	8	23	Sheep
Minnesota	COSTA_RICA	4	59	Pygmy_Shark
North_Dakota	Namibia	6	62	Columbidae
West_Virginia	Malta	7	70	Scoliodon
Nevada	Spain	1	0	Mule
Maryland	Zambia	1	52	Zebra
Oregon	Oregon	9	28	Scoliodon
Missouri	Switzerland	1	30	Sphyrna_lewini
Vermont	Vatican_City	9	75	American_Bison
Maryland	Wisconsin	0	38	Ostrich
New_Mexico	Ireland	6	71	Snipe
Nebraska	CZECH_REPUBLIC	4	86	Camel
Maine	CZECH_REPUBLIC	8	94	Squaliformes
Wyoming	Jordan	8	53	Gazelle
New_York	Ukraine	4	22	Cormorant
Arkansas	Australia	9	74	Otter
Wisconsin	Vatican_City	4	36	Reindeer
Hawaii	Wyoming	6	24	Crow
Colorado	Guatemala	6	98	Isogomphodon
South_Carolina	Pennsylvania	9	22	Hamster
Texas	Nigeria	6	37	Echinorhinus
Utah	Virginia	9	46	Cheetah
Virginia	Jordan	3	1	Crow
Pennsylvania	Nebraska	6	11	Scoliodon
New_Hampshire	Uruguay	2	55	Pinniped
Kansas	Malaysia	3	21	Mule
Idaho	Virginia	6	74	Donkey
Hawaii	New_Mexico	2	35	Carcharhiniformes
Alabama	Tonga	5	23	Guanaco
Georgia	Dominica	6	36	Pygmy_Shark
Rhode_Island	Rhode_Island	1	20	Chamois
New_York	COSTA_RICA	4	16	Bullhead_shark
Arizona	Nebraska	6	98	Echinorhinus
Massachusetts	Nebraska	4	30	Sawshark
Delaware	Luxembourg	8	75	Black_panther
Massachusetts	Georgia	3	33	Goose
South_Carolina	Alaska	4	66	Fox
Michigan	Virginia	0	6	Scoliodon
Kentucky	Zambia	6	49	Donkey
Nevada	Maryland	5	51	Negaprion
New_Mexico	Singapore	6	60	Chiloscyllium
Arizona	Tonga	5	40	Sheep
Iowa	California	6	94	Otter
Montana	Netherlands	8	54	Skunk
Oklahoma	Minnesota	6	88	Mallard
Idaho	Singapore	0	57	Lamna
Nevada	South_Carolina	6	44	Reindeer
Alaska	Ukraine	3	70	American_Bison
Illinois	Ireland	9	90	Rhinoceros
Delaware	Luxembourg	6	21	Ram
Hawaii	Morocco	0	65	Wombat
Illinois	Illinois	5	95	Lamna
Nevada	Romania	8	35	Jackal
Wisconsin	Uzbekistan	9	99	Reindeer
Louisiana	Dominica	6	46	American_Bison
Indiana	Nepal	1	80	Peafowl
Idaho	Finland	6	51	Dogfish
Florida	Tennessee	1	37	Rhinoceros
Alaska	WESTERN_SAHARA	4	70	Nightingale
Indiana	Alaska	9	75	Black_panther
New_Hampshire	TRINIDAD_AND_TOBAGO	4	96	Carcharhiniformes
Connecticut	Slovenia	9	24	Columbidae
Iowa	Nepal	2	40	Gazelle
Colorado	Florida	5	99	Pony
South_Dakota	Texas	7	25	Lamniformes
Maryland	Uzbekistan	5	73	Otter
Montana	Thailand	8	49	Prionace_glauca
Vermont	France	5	80	Crow
Vermont	Japan	0	38	Mule
Georgia	Madagascar	7	39	Prionace_glauca
Virginia	Cyprus	5	48	Cormorant
Wisconsin	Turkey	1	35	Giant_Panda
North_Dakota	Netherlands	5	55	Squaliformes
Maine	North_Carolina	4	42	Guanaco
Florida	Colombia	2	54	Mule
Massachusetts	Texas	4	24	Sawshark
New_Jersey	Illinois	1	9	Snipe
Kentucky	DOMINICAN_REPUBLIC	4	8	Mallard
Nevada	Oregon	9	74	Cirrhoscyllium
South_Dakota	Australia	5	22	Gazelle
New_Hampshire	Illinois	6	70	Moose
Virginia	Alabama	3	20	Giraffe
New_Jersey	Louisiana	3	3	Isogomphodon
Washington	New_Mexico	0	66	Whale_Shark
Montana	Maryland	5	3	Triakis
Utah	Romania	5	24	Pelican
Michigan	Wisconsin	2	95	Isogomphodon
Georgia	Japan	8	5	Cormorant
Washington	Malta	1	99	Squaliformes
North_Carolina	Morocco	5	96	Sheep
Kentucky	Minnesota	7	17	Ostrich
Louisiana	Romania	9	30	Bison
Arizona	Spain	2	99	Polecat
New_York	Serbia	9	25	Columbidae
West_Virginia	Spain	7	57	Sawshark
New_York	Ireland	6	74	Carcharhiniformes
Idaho	Oregon	5	21	Dogfish
Maine	Barbados	2	15	Pelican
Oklahoma	Wyoming	8	9	Hornet
Washington	Alabama	1	92	Sphyrna_lewini
Michigan	Wisconsin	6	58	Guanaco
North_Carolina	Thailand	9	5	Cirrhoscyllium
Tennessee	Netherlands	6	5	Manatee
Tennessee	Uganda	6	63	Prionace
Kentucky	Samoa	6	55	Cirrhoscyllium
New_York	Ukraine	3	64	Zebra
Maryland	Pennsylvania	6	22	Negaprion
Alabama	Namibia	4	89	Nightingale
Kentucky	Nauru	1	67	Guanaco
Ohio	Netherlands	7	56	Donkey
New_Jersey	Serbia	7	30	Hemitriakis
Arizona	South_Carolina	1	63	Triakis
Montana	Missouri	8	18	Wren
Colorado	NEW_ZEALAND	7	48	Pinniped
Montana	Australia	2	51	Fish
North_Dakota	Malta	8	17	Hemitriakis
Louisiana	Singapore	3	98	Prionace
South_Carolina	Ethiopia	8	86	Rhinoceros
Vermont	Sudan	2	63	Triaenodon
Utah	Finland	3	45	Black_panther
Idaho	MARSHALL_ISLANDS	6	14	Bullhead_shark
Alabama	CZECH_REPUBLIC	5	78	Parascyllium
Connecticut	EL_SALVADOR	7	21	Negaprion
Oklahoma	Uzbekistan	9	95	Flamingo
Washington	Netherlands	7	47	Carcharhinus
New_Hampshire	North_Carolina	8	11	Pelican
Montana	Missouri	5	35	Otter
Arkansas	Ireland	6	77	Jaguar
Georgia	Sweden	4	68	Carcharhinus
Colorado	Croatia	9	24	Anatidae
New_York	Maryland	1	99	Human
Kansas	Malawi	4	35	Raven
Louisiana	Finland	4	59	Flamingo
Montana	Italy	3	53	Gerbil
Vermont	Florida	3	34	Cheetah
Iowa	Maryland	2	17	Apristurus
Montana	Australia	7	20	Black_panther
Rhode_Island	Thailand	7	24	Fox
Washington	Slovenia	5	50	Apristurus
Pennsylvania	Wyoming	1	76	Pinniped
Alabama	Hawaii	2	16	Giraffe
Alaska	Latvia	9	78	Skunk
Alaska	Wisconsin	5	46	Prionace
Virginia	Hawaii	7	71	Lamna
Florida	MARSHALL_ISLANDS	1	24	Manatee
Georgia	Latvia	6	72	Columbidae
Vermont	Tuvalu	7	60	Hyena
Indiana	Monaco	9	26	Mallard
Minnesota	Massachusetts	3	43	Lamna
Oregon	Ecuador	9	95	Fish
New_York	Zambia	0	20	Giraffe
Oregon	Finland	4	2	Squaliformes
Montana	NEW_ZEALAND	1	30	Ram
Louisiana	Spain	3	27	Ram
New_Jersey	Nigeria	9	28	Negaprion
Oregon	Saudi_Arabia	3	11	Zebra
Colorado	Cyprus	0	14	Gorilla
New_Mexico	New_Mexico	4	73	Pelican
North_Dakota	Italy	1	70	Giant_Panda
New_Hampshire	Greece	6	32	Parascyllium
Nevada	Arizona	1	84	Bullhead_shark
Indiana	Turkey	3	64	Prionace
Pennsylvania	Romania	3	77	Pony
Oregon	Finland	7	32	Squaliformes
Washington	Saudi_Arabia	7	90	Prionace
New_Hampshire	Florida	9	82	Jackal
New_Hampshire	Ukraine	4	2	Bullhead_shark
Kansas	Luxembourg	6	60	Whale_Shark
South_Dakota	Mozambique	3	90	Pinniped
Indiana	Nauru	5	42	Otter
Alaska	Nauru	2	82	Echinorhinus
Ohio	Alaska	6	26	Pelican
Massachusetts	Serbia	5	84	Rhinoceros
Georgia	Oregon	2	88	Triakis
New_Mexico	Barbados	7	60	Lion
Rhode_Island	Slovenia	7	12	Nightingale
Ohio	Uzbekistan	6	49	Manatee
Utah	Tunisia	9	81	Polecat
Vermont	Illinois	9	70	Cirrhoscyllium
Georgia	Spain	7	72	Louse
Tennessee	Ukraine	9	23	Jaguar
Rhode_Island	Tanzania	2	36	Squaliformes
Indiana	Zambia	3	12	Orectolobus
Tennessee	Tanzania	7	29	Hemitriakis
Hawaii	Maryland	2	65	Gazelle
Tennessee	Ethiopia	6	92	American_Bison
Vermont	Canada	2	88	Raven
Rhode_Island	Romania	9	66	Chamois
Utah	Denmark	9	25	Pristiophorus
North_Dakota	Washington	9	35	Guanaco
Arizona	Tunisia	2	65	Jaguar
Idaho	Washington	0	44	Cirrhoscyllium
Oregon	Maine	9	33	Donkey
Tennessee	South_Carolina	9	43	Prionace
Maine	Uruguay	8	56	Reindeer
Alaska	Dominica	1	47	Carcharhiniformes
Kentucky	Uzbekistan	0	36	Pinniped
Vermont	Namibia	7	10	Skunk
Texas	Monaco	3	2	Raven
Nebraska	Colombia	0	30	Zebra
Oklahoma	Malawi	8	4	Raven
Virginia	France	6	68	Wren
Nebraska	Greece	3	69	Dolphin
Missouri	Japan	6	33	Ram
South_Carolina	Slovenia	0	81	Bullhead_shark
Georgia	Minnesota	3	34	Polecat
Michigan	Namibia	2	99	Fish
South_Carolina	Zimbabwe	0	70	Ostrich
Rhode_Island	Taiwan	1	86	Dolphin
Michigan	Ireland	0	66	Badger
Alabama	Netherlands	8	77	Isogomphodon
West_Virginia	COSTA_RICA	1	87	Jaguar
Virginia	Colombia	9	14	Negaprion
Colorado	Sudan	3	69	Parmaturus
Kansas	NEW_ZEALAND	9	62	Snipe
New_Hampshire	Pennsylvania	8	54	Hornet
Mississippi	Illinois	9	2	Mouse
Vermont	Samoa	2	81	Chamois
Washington	Taiwan	7	94	Prionace
Alaska	CZECH_REPUBLIC	0	32	Cobra
Oregon	Uzbekistan	1	77	Swan
Missouri	Samoa	6	86	Cheetah
Arkansas	Ethiopia	8	46	Coyote
Illinois	Maine	9	16	Camel
Utah	Romania	7	11	Negaprion
Mississippi	Uruguay	8	84	Angel_shark
Michigan	Tanzania	8	0	Crow
California	Mississippi	3	54	Angel_shark
Michigan	Tennessee	4	83	Heron
Tennessee	Georgia	7	37	Rhizoprionodon
Connecticut	Madagascar	5	1	Alligator
Oregon	Nigeria	8	82	Giraffe
Virginia	Vatican_City	7	50	Badger
Delaware	MARSHALL_ISLANDS	2	60	Dolphin
California	Nepal	3	53	Prionace_glauca
Connecticut	Wisconsin	3	8	Carcharhinus
Louisiana	Cyprus	0	77	Echinorhinus
California	Illinois	7	83	Pinniped
Georgia	Luxembourg	5	56	Gerbil
New_Mexico	Uzbekistan	5	62	Camel
Maryland	Taiwan	2	54	Giraffe
Indiana	WESTERN_SAHARA	0	52	Anatidae
Wisconsin	Vatican_City	6	39	Mallard
New_York	Grenada	2	80	Squaliformes
Nebraska	Jordan	7	11	Coccinellidae
Washington	Sweden	5	2	Cirrhoscyllium
Indiana	Uruguay	8	93	Pygmy_Shark
Nebraska	Michigan	2	16	Camel
Maine	Pennsylvania	6	19	Goldfinch
Alabama	WESTERN_SAHARA	1	97	Cheetah
Louisiana	Thailand	4	38	Squaliformes
Louisiana	North_Carolina	1	13	Chamois
Illinois	North_Carolina	8	6	Lamna
Ohio	Jordan	4	94	Rhizoprionodon
Washington	Louisiana	4	21	Isurus
Ohio	CZECH_REPUBLIC	7	4	Jaguar
Virginia	Grenada	0	40	Angel_shark
Massachusetts	Zimbabwe	8	62	Magpie
California	Slovakia	1	99	Cobra
Texas	Finland	7	31	Swan
Illinois	Serbia	6	8	Nightingale
Vermont	Tunisia	8	9	Ostrich
Arkansas	Monaco	5	58	Dogfish
Nevada	Spain	1	79	Giant_Panda
Iowa	Tuvalu	3	72	Whale_Shark
New_Mexico	Thailand	8	16	Cheetah
New_York	Uganda	3	92	Cormorant
Massachusetts	Virginia	9	85	Anatidae
Oklahoma	Sweden	7	44	Prionace
South_Carolina	Singapore	8	99	Carcharhinus
Rhode_Island	Nauru	1	41	Cormorant
New_Hampshire	Canada	6	28	Gerbil
Mississippi	Denmark	2	36	Gazelle
Michigan	Zambia	7	13	Goose
Illinois	Namibia	1	27	Goose
Wisconsin	Maine	8	38	Gerbil
Vermont	NEW_ZEALAND	4	37	Hawk
New_Mexico	Wisconsin	3	66	Peafowl
Hawaii	Saudi_Arabia	5	95	Poroderma
New_Mexico	Virginia	4	93	Giant_Panda
Maine	Wisconsin	6	82	Pinniped
New_Hampshire	Malaysia	3	18	Ostrich
Arizona	Nigeria	9	52	Otter
Mississippi	Spain	1	34	Cormorant
California	Wyoming	6	61	Lamna
South_Dakota	Uzbekistan	2	7	Ram
Maine	Italy	1	44	Fox
Michigan	Arizona	4	93	Ostrich
Colorado	Monaco	2	37	Skunk
Alabama	Sudan	3	19	Hemitriakis
Arkansas	Vatican_City	9	25	Coyote
New_Hampshire	Tonga	1	23	Crow
Kentucky	Lithuania	4	24	Bullhead_shark
Maryland	WESTERN_SAHARA	0	13	Otter
North_Dakota	Georgia	1	56	Orectolobus
Mississippi	Malawi	0	19	Rhinoceros
Maryland	France	4	63	Louse
Minnesota	Spain	7	65	Manatee
Minnesota	Malta	9	64	Coccinellidae
Delaware	Australia	2	30	Squaliformes
Tennessee	Nepal	1	84	Sheep
Wisconsin	Singapore	8	36	Giant_Panda
Maryland	Ecuador	9	38	Cormorant
Wisconsin	Ireland	2	67	Alligator
Arkansas	Louisiana	3	57	Poroderma
Georgia	Ireland	1	20	Guanaco
Virginia	NEW_ZEALAND	5	84	Gerbil
Montana	Rhode_Island	0	36	Coccinellidae
New_York	Australia	5	9	Bullhead_shark
California	Canada	7	83	Carcharhiniformes
Pennsylvania	Romania	2	97	Hyena
Indiana	Malaysia	1	79	Heron
Kansas	Minnesota	3	58	Poroderma
Michigan	Netherlands	0	59	Bullhead_shark
Kansas	Tuvalu	3	21	Lamniformes
Wisconsin	Mississippi	2	4	Wren
Kansas	Nepal	7	10	Cormorant
South_Carolina	North_Carolina	0	54	Coccinellidae
Arizona	New_Mexico	9	18	Hornet
Maryland	EQUATORIAL_GUINEA	9	63	Isurus
North_Dakota	Malta	4	55	Goose
South_Carolina	Madagascar	4	84	Heron
Hawaii	TRINIDAD_AND_TOBAGO	3	77	Columbidae
California	Tonga	6	56	Mouse
Rhode_Island	Denmark	4	70	Gerbil
Nebraska	Illinois	7	70	Echinorhinus
Wyoming	Cyprus	1	50	Ram
South_Dakota	Washington	1	3	Chiloscyllium
Florida	Switzerland	5	4	Hyena
Nebraska	Michigan	6	74	Jaguar
Texas	DOMINICAN_REPUBLIC	4	47	Pinniped
Connecticut	Tuvalu	4	59	Anatidae
Idaho	WESTERN_SAHARA	0	45	Ostrich
Vermont	Zimbabwe	1	22	Prionace_glauca
New_Hampshire	Sweden	3	48	Wren
Texas	Barbados	2	86	Pygmy_Shark
Utah	Guatemala	9	41	Prionace_glauca
Connecticut	Malaysia	4	81	Gorilla
Kansas	Croatia	6	25	Bullhead_shark
Indiana	Monaco	1	19	Cormorant
Mississippi	Japan	6	91	Giant_Panda
South_Carolina	Oregon	0	55	Isurus
Pennsylvania	Italy	7	56	Sheep
Hawaii	TRINIDAD_AND_TOBAGO	0	80	Fox
New_York	Maryland	3	1	Otter
Mississippi	Ethiopia	1	70	Hornet
South_Dakota	Croatia	9	32	Triaenodon
Rhode_Island	Hawaii	4	13	Gazelle
Iowa	Tennessee	2	67	Skunk
Pennsylvania	Samoa	8	64	Whale_Shark
Pennsylvania	Pennsylvania	9	2	Mouse
New_York	Virginia	3	0	Pinniped
Washington	Michigan	5	81	Gorilla
Hawaii	Jordan	7	30	Fox
California	Nigeria	2	29	Pony
Colorado	Massachusetts	7	8	Bullhead_shark
Hawaii	NEW_ZEALAND	2	27	Cheetah
Illinois	NEW_ZEALAND	1	48	Negaprion
Wisconsin	Nigeria	5	25	Polecat
Delaware	CZECH_REPUBLIC	7	18	Rhizoprionodon
Ohio	Madagascar	1	7	Goose
New_York	Washington	3	59	Isurus
Vermont	California	2	39	Zebra
Vermont	TRINIDAD_AND_TOBAGO	6	30	Hawk
Louisiana	Illinois	1	80	Manatee
Washington	Sudan	1	20	Polecat
New_Mexico	Colombia	8	72	American_Bison
Wisconsin	Japan	9	54	Hemitriakis
North_Carolina	Namibia	0	35	Giant_Panda
Louisiana	Rhode_Island	1	88	Quail
Arkansas	Malaysia	9	94	Coccinellidae
Tennessee	Rhode_Island	9	68	Goose
Wisconsin	Texas	9	73	Gerbil
Kentucky	Sweden	4	97	Columbidae
Montana	California	7	34	Guanaco
Illinois	Ghana	5	69	Hemitriakis
Vermont	Barbados	2	88	Orectolobus
Iowa	Vatican_City	9	41	Rhizoprionodon
Idaho	Tuvalu	5	70	Heron
Oklahoma	Mozambique	9	6	Mule
Maryland	Kiribati	8	3	Ostrich
Alaska	France	3	1	Dolphin
Hawaii	Texas	2	26	Heron
Connecticut	Netherlands	3	67	Wombat
Rhode_Island	North_Carolina	1	27	Polecat
Louisiana	Uganda	2	71	Ostrich
Kentucky	Maryland	1	43	Isurus
Iowa	Colombia	8	91	Otter
Pennsylvania	Zambia	3	26	Hornet
Idaho	Alaska	5	44	Skunk
Idaho	CZECH_REPUBLIC	8	84	Human
Alaska	Ghana	0	73	Prionace
Massachusetts	Thailand	1	59	Mule
Indiana	WESTERN_SAHARA	3	82	Magpie
Nebraska	Romania	6	7	Moose
North_Dakota	South_Carolina	4	26	Pony
Massachusetts	Sweden	6	32	Chiloscyllium
Ohio	Alaska	7	40	Triaenodon
South_Dakota	Canada	5	45	Partridge
Kentucky	Colombia	0	69	Beaver
Alabama	Ireland	2	98	Fox
Iowa	Wyoming	4	59	Guanaco
North_Dakota	Greece	6	42	Raven
Alaska	Zambia	8	34	Moose
Georgia	Lithuania	1	73	Wombat
Kansas	Louisiana	5	91	Donkey
Maryland	France	1	58	Polecat
California	Maryland	5	43	Squaliformes
Tennessee	Kiribati	6	37	Lamniformes
Hawaii	Lithuania	5	48	Carcharhiniformes
Connecticut	Guatemala	7	88	Poroderma
Florida	Nigeria	2	47	Fox
California	Ecuador	6	71	Gorilla
Oklahoma	Zimbabwe	7	42	Cormorant
Kentucky	Namibia	1	87	Cheetah
Arizona	Malawi	7	91	Jaguar
Connecticut	Italy	9	42	Pinniped
Pennsylvania	Wisconsin	8	45	Peafowl
Wisconsin	Wyoming	2	29	Flamingo
Wyoming	Morocco	3	54	Ostrich
Hawaii	Morocco	5	54	Parmaturus
Michigan	NEW_ZEALAND	3	26	Hemitriakis
Illinois	Maryland	2	55	Dogfish
Indiana	Vatican_City	2	27	Parmaturus
Hawaii	Netherlands	4	98	Parascyllium
Nevada	Pennsylvania	5	40	Hemitriakis
Wisconsin	North_Carolina	8	91	Wren
Iowa	Zambia	9	28	Mouse
New_Mexico	DOMINICAN_REPUBLIC	0	41	Ostrich
New_Mexico	Latvia	1	92	Goldfinch
Kansas	Malawi	1	37	Beaver
Maine	Singapore	3	24	Swallow
Colorado	Ireland	9	24	Columbidae
New_York	Uzbekistan	6	89	Hawk
Tennessee	Louisiana	2	82	Isurus
Maine	Wisconsin	4	55	Goose
Missouri	Tanzania	7	91	Louse
Illinois	EQUATORIAL_GUINEA	8	89	Quail
Wisconsin	Dominica	1	72	Crow
Indiana	WESTERN_SAHARA	7	6	Otter
Texas	Finland	1	81	Swallow
Massachusetts	TRINIDAD_AND_TOBAGO	8	85	Scoliodon
Kentucky	Pennsylvania	8	48	Goose
Florida	Michigan	2	34	Zebra
West_Virginia	Luxembourg	4	33	Chamois
Alaska	Malaysia	3	87	Echinorhinus
Illinois	Ireland	0	25	Lamniformes
Kansas	France	3	84	Orectolobus
Indiana	Rhode_Island	7	28	Triakis
Tennessee	Uganda	0	51	Crow
Virginia	Taiwan	3	55	Hemiscyllium
California	Vatican_City	8	82	Cormorant
Rhode_Island	Minnesota	9	34	Hemiscyllium
Florida	Tanzania	9	83	Gerbil
Vermont	DOMINICAN_REPUBLIC	0	80	Mouse
Illinois	Slovakia	9	46	Polecat
Wisconsin	Italy	6	56	Coyote
Michigan	Illinois	0	39	Cormorant
New_York	Nigeria	5	29	Chamois
Oklahoma	EQUATORIAL_GUINEA	7	89	Apristurus
Vermont	Netherlands	6	41	Apristurus
Vermont	Jordan	6	14	Goose
Virginia	Italy	6	91	Carcharhiniformes
New_Mexico	Malaysia	9	33	Black_panther
California	Slovakia	0	20	Reindeer
Nevada	Nigeria	5	12	Bison
New_York	Mozambique	4	31	Polecat
Kentucky	Maine	3	44	Negaprion
Oregon	Taiwan	5	53	Rhinoceros
Kansas	Italy	6	64	Heron
New_Jersey	Washington	9	3	Lamniformes
Washington	Florida	1	13	Apristurus
New_York	COSTA_RICA	1	1	Donkey
Georgia	Tuvalu	0	53	Parmaturus
Nebraska	Mozambique	8	30	Giant_Panda
Idaho	Denmark	5	75	Manatee
Iowa	Ecuador	6	64	Zebra
New_Jersey	Guatemala	1	20	Lamna
Nebraska	Netherlands	0	44	Carcharhiniformes
Utah	Ecuador	3	22	Pinniped
Massachusetts	Kiribati	0	10	Coyote
South_Carolina	Sudan	8	39	Cormorant
Alaska	Latvia	0	9	Apristurus
Wyoming	Zimbabwe	9	44	Triakis
West_Virginia	France	3	90	Ram
Alabama	Ukraine	1	63	Heron
Vermont	Grenada	2	47	Parascyllium
Arkansas	Monaco	5	92	Black_panther
New_Jersey	Malawi	5	56	Hawk
Virginia	Minnesota	3	27	Apristurus
New_Hampshire	Ecuador	8	10	Goose
Vermont	Latvia	1	22	Lion
Massachusetts	Lithuania	5	96	Poroderma
Michigan	Wisconsin	7	85	Polecat
Indiana	South_Carolina	2	42	Heron
Virginia	Vatican_City	3	12	Pony
Texas	Cyprus	5	45	Pelican
Louisiana	Slovakia	9	0	Goldfinch
Alaska	Georgia	3	53	Black_panther
Washington	Australia	7	27	Prionace
Colorado	Kiribati	8	26	Apristurus
Colorado	Ecuador	4	48	Chamois
New_York	Kiribati	9	88	Pinniped
South_Dakota	Australia	2	80	Angel_shark
Pennsylvania	New_Mexico	8	9	Skunk
Minnesota	Alaska	1	74	Bullhead_shark
Pennsylvania	Monaco	1	2	Pinniped
Connecticut	Spain	3	52	Sheep
Connecticut	EQUATORIAL_GUINEA	2	68	Skunk
Delaware	Japan	1	25	Donkey
Mississippi	Nebraska	6	8	Quail
Maryland	Uganda	8	48	Human
Arkansas	Maryland	2	24	Donkey
